PLAYER_NAME,TEAM_ABBREVIATION,PTS,REB,AST,STL,BLK
A.J. Lawson,DAL,136,50,20,10,3
AJ Green,MIL,252,64,30,9,4
AJ Griffin,ATL,48,18,5,1,2
Aaron Gordon,DEN,1013,471,259,56,45
Aaron Holiday,HOU,514,123,140,42,6
Aaron Nesmith,IND,877,275,108,65,49
Aaron Wiggins,OKC,542,186,86,56,19
Adam Flagler,OKC,3,0,4,0,0
Adama Sanogo,CHI,36,36,0,1,0
Admiral Schofield,ORL,26,17,7,1,0
Al Horford,BOS,562,413,168,38,62
Alec Burks,NYK,689,150,88,28,12
Aleksej Pokusevski,CHA,146,89,35,15,13
Alex Caruso,CHI,715,273,247,120,70
Alex Fudge,DAL,15,5,0,3,0
Alex Len,SAC,120,128,50,11,33
Alondes Williams,MIA,5,1,0,0,1
Alperen Sengun,HOU,1331,589,312,76,46
Amari Bailey,CHA,23,9,7,3,0
Amen Thompson,HOU,592,409,163,78,38
Amir Coffey,LAC,463,148,76,41,14
Andre Drummond,CHI,663,708,37,73,48
Andre Jackson Jr.,MIL,125,113,50,16,6
Andrew Funk,CHI,0,0,0,1,1
Andrew Nembhard,IND,626,141,280,63,6
Andrew Wiggins,GSW,939,321,119,42,41
Anfernee Simons,POR,1039,167,255,23,5
Anthony Black,ORL,316,139,91,35,21
Anthony Davis,LAL,1876,961,266,91,178
Anthony Edwards,MIN,2049,430,405,101,42
Anthony Gill,WAS,189,94,34,13,11
Armoni Brooks,BKN,42,18,5,1,1
Ashton Hagans,POR,80,45,54,11,9
Ausar Thompson,DET,556,402,120,68,59
Austin Reaves,LAL,1300,352,450,66,25
Ayo Dosunmu,CHI,924,216,242,68,36
Bam Adebayo,MIA,1367,737,278,81,66
Ben Sheppard,IND,252,89,53,33,2
Ben Simmons,BKN,92,119,86,12,9
Bennedict Mathurin,IND,856,234,119,35,14
Bilal Coulibaly,WAS,532,256,110,57,48
Bismack Biyombo,OKC,174,209,53,11,37
Blake Wesley,SAS,268,94,166,29,9
Boban Marjanović,HOU,45,32,6,1,2
Bobby Portis,MIL,1130,607,104,68,34
Bogdan Bogdanović,ATL,1333,272,247,96,26
Bojan Bogdanović,NYK,868,152,97,30,5
Bol Bol,PHX,223,137,17,10,25
Bones Hyland,LAC,256,55,93,26,4
Bradley Beal,PHX,964,232,265,52,27
Brandin Podziemski,GSW,682,427,273,61,14
Brandon Boston Jr.,LAC,167,52,13,11,8
Brandon Clarke,MEM,68,32,9,5,6
Brandon Ingram,NOP,1332,324,363,50,40
Brandon Miller,CHA,1279,315,175,66,42
Brandon Williams,DAL,54,13,17,1,1
Braxton Key,DEN,22,18,9,2,1
Brice Sensabaugh,UTA,241,102,55,13,6
Brook Lopez,MIL,990,409,127,43,189
Bruce Brown,TOR,726,284,192,59,17
Bruno Fernando,ATL,282,193,46,25,28
Bryce McGowens,CHA,302,102,51,21,10
Buddy Boeheim,DET,34,10,3,0,1
Buddy Hield,PHI,1013,269,236,70,42
CJ McCollum,NOP,1322,286,305,62,41
Cade Cunningham,DET,1405,268,464,56,22
Caleb Houstan,ORL,253,84,29,15,4
Caleb Martin,MIA,640,281,143,47,29
Cam Reddish,LAL,260,99,48,47,14
Cam Thomas,BKN,1482,214,192,45,16
Cam Whitmore,HOU,579,180,33,30,17
Cameron Johnson,BKN,776,251,138,49,15
Cameron Payne,PHI,578,117,205,42,11
Caris LeVert,CLE,952,280,346,76,34
Cason Wallace,OKC,561,187,120,76,37
Cedi Osman,SAS,489,180,119,36,11
Charles Bassey,SAS,63,76,21,8,17
Charlie Brown Jr.,NYK,6,2,0,0,2
Chet Holmgren,OKC,1357,648,200,53,190
Chimezie Metu,DET,332,194,46,43,16
Chris Boucher,TOR,322,207,23,14,24
Chris Duarte,SAC,230,106,44,28,8
Chris Livingston,MIL,26,21,5,2,0
Chris Paul,GSW,533,225,393,70,6
Christian Braun,DEN,600,306,132,42,35
Christian Wood,LAL,347,254,49,16,33
Chuma Okeke,ORL,107,80,20,9,7
Clint Capela,ATL,836,776,91,43,106
Coby White,CHI,1509,358,405,53,18
Cody Martin,CHA,211,109,104,32,18
Cody Zeller,NOP,76,112,39,9,5
Colby Jones,SAC,64,40,20,7,5
Cole Anthony,ORL,937,311,236,64,37
Cole Swider,MIA,42,7,5,1,1
Colin Castleton,LAL,24,12,3,2,0
Collin Gillespie,DEN,87,21,27,13,0
Collin Sexton,UTA,1458,205,383,62,18
Corey Kispert,WAS,1070,225,157,42,16
Cory Joseph,GSW,63,30,42,4,3
Craig Porter Jr.,CLE,285,109,118,21,15
D'Angelo Russell,LAL,1369,236,482,69,36
D'Moi Hodge,LAL,14,0,5,1,1
D.J. Carton,TOR,11,4,3,1,0
D.J. Wilson,PHI,10,2,2,0,2
DaQuan Jeffries,NYK,14,5,5,0,1
Daishen Nix,MIN,27,3,6,5,0
Dalano Banton,POR,557,178,127,33,20
Dalen Terry,CHI,180,113,81,27,18
Damian Jones,CLE,107,62,15,7,13
Damian Lillard,MIL,1775,320,508,72,18
Daniel Gafford,DAL,814,562,115,65,153
Daniel Theis,LAC,376,244,61,21,51
Danilo Gallinari,MIL,280,108,55,14,6
Danny Green,PHI,0,2,1,1,0
Danté Exum,DAL,428,149,157,22,5
Danuel House Jr.,PHI,144,58,28,15,5
Dario Šarić,GSW,515,283,144,31,10
Dariq Whitehead,BKN,3,4,3,0,1
Darius Bazley,UTA,48,28,7,6,7
Darius Garland,CLE,1028,152,373,74,7
David Duke Jr.,SAS,26,10,5,2,0
David Roddy,PHX,425,211,80,27,11
Davion Mitchell,SAC,379,95,134,17,3
Davis Bertans,CHA,290,61,35,26,12
Day'Ron Sharpe,BKN,415,389,85,24,44
De'Aaron Fox,SAC,1966,340,418,150,31
De'Andre Hunter,ATL,891,222,87,40,16
De'Anthony Melton,PHI,421,141,114,60,16
DeAndre Jordan,DEN,142,157,26,6,16
DeJon Jarreau,MEM,43,44,26,6,2
DeMar DeRozan,CHI,1897,340,421,90,45
Dean Wade,CLE,291,218,43,40,25
Deandre Ayton,POR,920,609,90,56,42
Dejounte Murray,ATL,1753,416,502,111,24
Delon Wright,MIA,210,86,119,54,11
Deni Avdija,WAS,1102,540,286,59,36
Dennis Schröder,BKN,1122,242,488,63,17
Dennis Smith Jr.,BKN,369,164,203,68,12
Dereck Lively II,DAL,483,378,60,36,77
Dereon Seabron,NOP,14,7,5,2,1
Derrick Jones Jr.,DAL,657,250,75,53,51
Derrick Rose,MEM,191,45,78,8,2
Derrick White,BOS,1107,310,377,74,87
Desmond Bane,MEM,997,185,230,43,22
Devin Booker,PHX,1841,308,472,61,28
Devin Vassell,SAS,1323,261,277,73,23
Devonte' Graham,SAS,114,36,49,9,2
Dexter Dennis,DAL,22,9,4,0,1
Dillon Brooks,HOU,915,246,119,64,10
Dmytro Skapintsev,NYK,0,0,0,0,0
Domantas Sabonis,SAC,1593,1120,673,74,48
Dominick Barlow,SAS,144,113,36,12,14
Donovan Mitchell,CLE,1463,280,333,101,30
Donte DiVincenzo,NYK,1259,297,216,107,36
Dorian Finney-Smith,BKN,580,317,107,56,38
Doug McDermott,IND,351,59,70,16,2
Draymond Green,GSW,475,398,332,55,47
Drew Eubanks,PHX,379,322,63,27,61
Drew Peterson,BOS,11,1,1,2,0
Dru Smith,MIA,39,14,14,9,3
Duncan Robinson,MIA,875,173,192,46,16
Duop Reath,POR,617,250,67,33,38
Dwight Powell,DAL,208,214,84,26,20
Dylan Windler,ATL,43,16,10,2,0
Dyson Daniels,NOP,354,236,164,85,25
E.J. Liddell,NOP,4,5,1,2,2
Emoni Bates,CLE,41,14,10,1,2
Eric Gordon,PHX,749,122,139,66,30
Eugene Omoruyi,WAS,207,85,35,27,5
Evan Fournier,DET,220,58,48,29,7
Evan Mobley,CLE,785,468,160,45,72
Filip Petrusev,SAC,3,1,0,0,0
Frank Ntilikina,CHA,5,6,4,0,0
Franz Wagner,ORL,1421,381,269,76,28
Fred VanVleet,HOU,1270,278,589,101,59
Furkan Korkmaz,PHI,88,30,25,14,3
GG Jackson,MEM,699,196,59,28,24
Gabe Vincent,LAL,34,9,21,9,0
Garrett Temple,TOR,88,45,28,12,3
Garrison Mathews,ATL,325,92,37,20,8
Gary Harris,ORL,372,91,87,49,14
Gary Payton II,GSW,240,113,48,39,18
Gary Trent Jr.,TOR,974,188,119,77,10
Georges Niang,CLE,768,278,98,30,18
Giannis Antetokounmpo,MIL,2222,841,476,87,79
Goga Bitadze,ORL,311,286,79,32,72
Gordon Hayward,OKC,500,181,158,40,13
Gradey Dick,TOR,510,132,68,34,2
Grant Williams,CHA,784,318,174,44,39
Grayson Allen,PHX,1014,295,227,69,45
Greg Brown III,DAL,15,9,4,0,4
Gui Santos,GSW,82,49,14,4,2
Hamidou Diallo,WAS,2,2,1,2,0
Harrison Barnes,SAC,1000,249,99,54,12
Harry Giles III,LAL,56,30,6,2,3
Haywood Highsmith,MIA,405,210,70,53,30
Henri Drell,CHI,11,4,4,2,1
Herbert Jones,NOP,837,272,199,105,62
Hunter Tyson,DEN,20,9,2,1,0
Ibou Badji,POR,34,51,13,3,20
Immanuel Quickley,TOR,1156,259,331,50,10
Isaac Okoro,CLE,647,207,132,57,34
Isaiah Hartenstein,NYK,582,626,188,87,85
Isaiah Jackson,IND,383,238,50,34,61
Isaiah Joe,OKC,636,180,99,46,22
Isaiah Livers,DET,114,48,25,13,5
Isaiah Mobley,CLE,23,10,6,2,0
Isaiah Stewart,DET,503,305,73,17,38
Isaiah Thomas,PHX,8,0,3,0,0
Isaiah Wong,IND,2,0,0,0,0
Ish Smith,CHA,139,76,145,17,4
Ish Wainright,PHX,23,14,1,4,1
Ivica Zubac,LAC,794,626,93,22,83
Izaiah Brockington,NOP,4,2,0,0,0
JD Davison,BOS,16,10,10,1,1
JT Thor,CHA,199,146,29,11,27
Ja Morant,MEM,226,50,73,7,5
JaVale McGee,SAC,185,126,17,14,20
Jabari Smith Jr.,HOU,1044,616,121,52,61
Jabari Walker,POR,638,508,71,42,22
Jack White,MEM,6,12,1,4,1
Jacob Gilyard,BKN,173,46,137,33,5
Jacob Toppin,NYK,13,7,3,0,1
Jaden Hardy,DAL,530,131,109,22,4
Jaden Ivey,DET,1185,264,296,57,41
Jaden McDaniels,MIN,757,224,101,63,42
Jaden Springer,BOS,163,78,44,36,15
Jae Crowder,MIL,312,161,66,38,9
Jae'Sean Tate,HOU,265,197,64,42,15
Jahmi'us Ramsey,TOR,47,22,8,7,0
Jaime Jaquez Jr.,MIA,889,285,195,77,20
Jake LaRavia,MEM,379,128,58,29,12
Jakob Poeltl,TOR,555,429,127,35,76
Jalen Brunson,NYK,2212,278,519,70,13
Jalen Crutcher,NOP,0,0,0,0,0
Jalen Duren,DET,841,709,147,33,47
Jalen Green,HOU,1610,423,291,66,28
Jalen Hood-Schifino,LAL,34,13,8,3,2
Jalen Johnson,ATL,896,488,203,67,47
Jalen McDaniels,TOR,169,79,37,19,6
Jalen Pickett,DEN,42,14,21,4,0
Jalen Slawson,SAC,8,7,2,1,1
Jalen Smith,IND,601,337,63,17,38
Jalen Suggs,ORL,943,229,205,106,47
Jalen Williams,OKC,1355,282,322,80,45
Jalen Wilson,BKN,214,131,45,11,4
Jamal Cain,MIA,97,37,10,10,5
Jamal Murray,DEN,1250,242,384,57,39
Jamaree Bouyea,SAS,21,19,11,1,0
James Bouknight,CHA,50,9,6,1,1
James Harden,LAC,1192,369,614,77,57
James Johnson,IND,8,4,8,5,1
James Wiseman,DET,446,336,54,12,39
Jarace Walker,IND,120,63,40,15,11
Jared Butler,WAS,251,58,126,29,8
Jared Rhoden,DET,83,33,14,3,13
Jaren Jackson Jr.,MEM,1486,365,154,80,106
Jarred Vanderbilt,LAL,150,138,36,36,5
Jarrett Allen,CLE,1271,811,210,53,81
Jason Preston,UTA,12,17,16,2,1
Javon Freeman-Liberty,TOR,153,70,40,10,4
Javonte Green,CHI,110,67,5,10,8
Javonte Smart,PHI,0,0,0,0,0
Jaxson Hayes,LAL,303,211,33,34,29
Jay Huff,DEN,23,11,2,2,3
Jaylen Brown,BOS,1610,387,249,83,37
Jaylen Nowell,DET,81,24,19,4,2
Jaylin Williams,OKC,276,234,110,28,27
Jayson Tatum,BOS,1987,601,364,75,43
Jeff Dowtin Jr.,PHI,52,20,27,7,1
Jeff Green,HOU,509,178,70,16,31
Jerami Grant,POR,1132,191,152,45,34
Jeremiah Robinson-Earl,NOP,115,76,21,10,4
Jeremy Sochan,SAS,861,476,249,62,40
Jericho Sims,NYK,92,147,25,8,19
Jermaine Samuels Jr.,HOU,20,13,3,1,2
Jerome Robinson,GSW,31,6,5,1,3
Jett Howard,ORL,29,7,6,2,2
Jevon Carter,CHI,357,60,94,37,16
Jimmy Butler,MIA,1246,318,298,79,17
Joao Marcello Cardoso Pereira,MEM,48,37,2,6,4
Jock Landale,HOU,274,172,65,20,33
Joe Harris,DET,39,13,10,3,2
Joe Ingles,ORL,296,142,203,43,5
Joel Embiid,PHI,1353,430,219,46,66
John Collins,UTA,1027,575,77,40,61
John Konchar,MEM,235,257,110,51,51
Johnny Davis,WAS,152,72,32,18,10
Johnny Juzang,UTA,144,36,23,4,2
Jonas Valančiūnas,NOP,1002,721,173,33,68
Jonathan Isaac,ORL,393,260,30,43,70
Jonathan Kuminga,GSW,1188,355,163,55,36
Jontay Porter,TOR,115,82,60,20,20
Jordan Clarkson,UTA,942,188,277,35,6
Jordan Ford,SAC,12,2,2,0,0
Jordan Goodwin,MEM,368,253,155,48,18
Jordan Hawkins,NOP,524,148,70,19,7
Jordan McLaughlin,MIN,195,72,110,35,7
Jordan Miller,LAC,13,5,0,0,0
Jordan Nwora,TOR,364,149,62,26,13
Jordan Poole,WAS,1356,212,343,86,25
Jordan Walsh,BOS,15,20,5,5,1
Jose Alvarado,NOP,397,128,117,59,15
Josh Giddey,OKC,986,514,386,52,44
Josh Green,DAL,469,184,130,47,9
Josh Hart,NYK,761,675,331,75,23
Josh Minott,MIN,50,17,8,5,5
Josh Okogie,PHX,277,154,64,48,24
Josh Richardson,MIA,425,121,105,24,14
Joshua Primo,LAC,2,1,0,0,1
Jrue Holiday,BOS,860,373,333,61,53
Juan Toscano-Anderson,SAC,7,14,4,1,1
Jules Bernard,WAS,74,26,16,3,1
Julian Champagnie,SAS,504,206,103,48,42
Julian Phillips,CHI,89,36,13,7,7
Julian Strawther,DEN,227,61,47,17,7
Julius Randle,NYK,1102,423,229,25,12
Justin Champagnie,WAS,89,53,19,10,9
Justin Holiday,DEN,234,71,67,36,9
Justin Jackson,MIN,0,0,0,0,0
Justin Minaya,POR,61,56,21,9,10
Jusuf Nurkić,PHX,829,837,301,81,80
KJ Martin,PHI,224,131,51,22,12
Kaiser Gates,NOP,0,1,0,0,0
Karl-Anthony Towns,MIN,1349,515,189,43,41
Kawhi Leonard,LAC,1613,416,244,111,59
Keegan Murray,SAC,1172,420,129,79,59
Keita Bates-Diop,BKN,197,110,38,25,22
Keldon Johnson,SAS,1084,377,195,51,20
Kelly Olynyk,TOR,762,411,347,74,30
Kelly Oubre Jr.,PHI,1049,341,101,77,47
Kendall Brown,IND,21,5,5,0,0
Kenneth Lofton Jr.,UTA,96,38,33,6,5
Kenrich Williams,OKC,325,209,93,38,9
Kentavious Caldwell-Pope,DEN,766,183,183,98,42
Keon Ellis,SAC,310,124,85,51,29
Keon Johnson,BKN,31,7,3,3,1
Kessler Edwards,SAC,93,42,15,10,4
Kevin Durant,PHX,2032,495,378,69,91
Kevin Huerter,SAC,655,224,166,45,23
Kevin Knox II,DET,223,75,23,13,7
Kevin Love,MIA,485,338,115,18,10
Kevon Harris,ORL,4,2,1,0,0
Kevon Looney,GSW,334,419,133,28,29
Keyontae Johnson,OKC,11,10,4,1,0
Keyonte George,UTA,974,211,332,36,7
Khris Middleton,MIL,828,257,292,51,15
Killian Hayes,DET,289,119,205,36,20
Kira Lewis Jr.,UTA,89,26,37,9,2
Klay Thompson,GSW,1375,254,176,50,35
Kobe Brown,LAC,89,62,25,12,6
Kobe Bufkin,ATL,81,33,27,7,5
Kobi Simmons,TOR,20,7,12,6,2
Kris Dunn,UTA,357,189,254,68,28
Kris Murray,POR,376,224,80,53,21
Kristaps Porziņģis,BOS,1145,409,115,42,111
Kyle Anderson,MIN,506,273,331,71,47
Kyle Kuzma,WAS,1553,464,296,37,49
Kyle Lowry,PHI,487,194,253,59,21
Kyrie Irving,DAL,1487,290,299,74,28
LaMelo Ball,CHA,526,113,176,40,4
Lamar Stevens,MEM,272,127,28,23,22
Landry Shamet,WAS,327,62,54,25,10
Larry Nance Jr.,NOP,350,307,113,61,19
Lauri Markkanen,UTA,1278,449,110,50,26
LeBron James,LAL,1822,518,589,89,38
Leaky Black,CHA,69,48,24,8,11
Leonard Miller,MIN,29,20,8,2,1
Lester Quinones,GSW,164,72,36,6,2
Lindell Wigginton,MIL,6,0,0,0,0
Lindy Waters III,OKC,137,40,24,5,7
Lonnie Walker IV,BKN,565,127,74,32,20
Luguentz Dort,OKC,860,284,113,71,47
Luka Dončić,DAL,2370,647,686,99,38
Luka Garza,MIN,99,31,4,4,1
Luka Samanic,UTA,177,102,19,5,7
Luke Kennard,MEM,429,113,136,20,2
Luke Kornet,BOS,334,261,67,23,61
Malachi Flynn,DET,380,114,130,38,8
Malaki Branham,SAS,690,148,156,27,8
Malcolm Brogdon,POR,613,148,214,27,8
Malcolm Cazalon,DET,0,0,0,0,0
Malik Beasley,MIL,889,290,108,59,9
Malik Monk,SAC,1110,212,370,45,39
Malik Williams,TOR,19,38,2,3,4
Mamadi Diakite,NYK,12,4,2,1,1
MarJon Beauchamp,MIL,211,99,31,13,7
Marcus Morris Sr.,CLE,316,134,36,15,13
Marcus Sasser,DET,586,125,236,44,12
Marcus Smart,MEM,289,53,86,41,5
Mark Williams,CHA,242,184,22,16,20
Markelle Fultz,ORL,335,138,120,42,15
Markieff Morris,DAL,66,39,16,5,3
Markquis Nowell,TOR,2,2,2,1,0
Marques Bolden,CHA,37,34,4,3,7
Marvin Bagley III,WAS,583,312,55,20,33
Mason Jones,SAC,7,5,5,1,0
Mason Plumlee,LAC,244,234,55,14,17
Matisse Thybulle,POR,354,136,90,113,49
Matt Hurt,MEM,32,16,4,3,3
Matt Ryan,NOP,152,40,18,6,1
Max Christie,LAL,284,142,60,20,17
Max Strus,CLE,853,338,283,64,29
Maxi Kleber,DAL,191,143,68,17,30
Maxwell Lewis,LAL,11,4,6,2,1
Micah Potter,UTA,53,43,6,4,6
Michael Porter Jr.,DEN,1356,565,122,42,53
Mikal Bridges,BKN,1606,372,299,81,30
Mike Conley,MIN,869,218,449,88,17
Mike Muscala,OKC,157,125,37,9,13
Miles Bridges,CHA,1449,505,231,65,33
Miles McBride,NYK,562,100,114,50,7
Mitchell Robinson,NYK,173,263,18,37,35
Mo Bamba,PHI,253,238,41,22,60
Monté Morris,MIN,164,57,69,19,9
Moritz Wagner,ORL,868,347,96,39,21
Moses Brown,POR,75,86,7,5,7
Moses Moody,GSW,533,196,57,42,24
Mouhamadou Gueye,TOR,26,23,5,3,18
Mouhamed Gueye,ATL,24,22,4,5,4
Moussa Diabaté,LAC,29,24,4,5,1
Myles Turner,IND,1313,533,100,39,144
Naji Marshall,NOP,466,240,128,49,12
Nassir Little,PHX,152,75,21,10,10
Nate Hinton,HOU,33,22,10,3,2
Nate Williams,HOU,63,23,7,4,1
Nathan Mensah,CHA,33,65,9,6,14
Naz Reid,MIN,1090,423,106,63,73
Neemias Queta,BOS,154,122,20,13,21
Nic Claxton,BKN,841,706,147,46,146
Nick Richards,CHA,652,539,54,26,74
Nick Smith Jr.,CHA,302,72,59,10,7
Nickeil Alexander-Walker,MIN,655,167,204,64,42
Nicolas Batum,PHI,320,248,128,48,38
Nikola Jokić,DEN,2085,976,708,108,68
Nikola Jović,MIA,352,192,90,25,14
Nikola Vučević,CHI,1370,801,254,50,60
Noah Clowney,BKN,133,81,18,8,16
Norman Powell,LAC,1056,195,82,43,22
OG Anunoby,NYK,733,208,107,68,36
Obi Toppin,IND,843,320,128,47,43
Ochai Agbaji,TOR,455,216,83,47,44
Olivier Sarr,OKC,34,36,2,0,7
Olivier-Maxence Prosper,DAL,121,79,22,7,4
Omer Yurtseven,UTA,222,208,29,8,18
Onuralp Bitim,CHI,80,32,13,3,2
Onyeka Okongwu,ATL,561,376,74,26,60
Orlando Robinson,MIA,99,84,34,7,8
Oscar Tshiebwe,IND,26,16,2,2,1
Oshae Brissett,BOS,201,160,44,19,8
Otto Porter Jr.,TOR,39,29,8,5,5
Ousmane Dieng,OKC,133,51,37,8,5
P.J. Tucker,LAC,52,85,16,16,7
P.J. Washington,DAL,939,411,141,72,59
Paolo Banchero,ORL,1804,554,431,71,47
Pascal Siakam,IND,1737,565,342,63,25
Pat Connaughton,MIL,428,239,161,40,19
Pat Spencer,GSW,4,4,5,0,0
Patrick Baldwin Jr.,WAS,168,123,29,18,15
Patrick Beverley,MIL,451,239,212,43,31
Patrick Williams,CHI,429,166,66,40,33
Patty Mills,MIA,127,35,34,20,1
Paul George,LAC,1671,388,262,113,37
Paul Reed,PHI,600,488,109,67,84
Payton Pritchard,BOS,787,265,281,39,6
Pete Nance,CLE,3,3,0,1,0
Peyton Watson,DEN,532,258,86,42,88
Precious Achiuwa,NYK,565,487,97,46,68
Quentin Grimes,DET,359,100,66,35,7
Quenton Jackson,IND,2,4,2,1,0
R.J. Hampton,MIA,10,6,8,0,0
RJ Barrett,TOR,1170,315,193,31,22
RaiQuan Gray,SAS,23,7,6,1,1
Rayan Rupert,POR,155,92,62,12,3
Reggie Bullock Jr.,HOU,96,73,15,12,5
Reggie Jackson,DEN,833,155,308,44,12
Richaun Holmes,WAS,199,182,25,11,19
Ricky Council IV,PHI,173,46,16,8,1
Robert Covington,PHI,127,97,24,39,18
Robert Williams III,POR,41,38,5,7,7
Robin Lopez,MIL,18,5,4,1,3
Ron Harper Jr.,TOR,0,0,1,0,0
Royce O'Neale,PHX,608,377,219,59,44
Rudy Gobert,MIN,1061,982,102,52,162
Rui Hachimura,LAL,923,294,81,41,25
Russell Westbrook,LAC,754,343,306,74,23
Ryan Arcidiacono,NYK,0,8,4,2,0
Ryan Rollins,MIL,44,13,14,10,3
Saben Lee,PHX,71,31,30,7,3
Saddiq Bey,ATL,863,411,92,51,11
Sam Hauser,BOS,712,276,82,40,25
Sam Merrill,CLE,485,120,108,19,4
Sandro Mamukelashvili,SAS,190,147,49,7,12
Santi Aldama,MEM,654,352,138,43,54
Sasha Vezenkov,SAC,225,96,19,20,7
Scoot Henderson,POR,868,194,336,48,13
Scottie Barnes,TOR,1191,494,363,75,88
Scotty Pippen Jr.,MEM,271,67,98,36,10
Seth Curry,CHA,226,68,44,22,6
Seth Lundy,ATL,14,7,0,0,0
Shaedon Sharpe,POR,510,160,94,28,12
Shai Gilgeous-Alexander,OKC,2254,415,465,150,67
Shake Milton,NYK,216,75,60,19,6
Shaquille Harrison,MEM,2,2,0,0,1
Sidy Cissoko,SAS,45,22,10,7,3
Simone Fontecchio,DET,692,246,101,44,23
Skylar Mays,LAL,155,43,85,21,4
Spencer Dinwiddie,LAL,795,205,356,51,22
Stanley Umude,DET,127,51,11,8,7
Stephen Curry,GSW,1956,330,379,54,28
Svi Mykhailiuk,BOS,162,51,35,11,1
T.J. McConnell,IND,727,191,390,72,8
T.J. Warren,MIN,41,22,9,4,1
Taj Gibson,DET,34,37,11,3,7
Talen Horton-Tucker,UTA,516,121,177,45,19
Tari Eason,HOU,215,153,27,31,19
Taurean Prince,LAL,697,230,119,58,35
Taylor Hendricks,UTA,292,185,32,28,30
Tazé Moore,POR,18,8,5,2,0
Terance Mann,LAC,658,254,119,43,15
Terquavion Smith,PHI,52,4,12,8,0
Terry Rozier,MIA,1205,247,342,63,21
Terry Taylor,CHI,46,37,10,5,2
Thaddeus Young,PHX,137,103,57,23,5
Thanasis Antetokounmpo,MIL,32,13,17,7,4
Theo Maledon,PHX,59,24,28,7,0
Thomas Bryant,MIA,217,141,23,10,16
Tim Hardaway Jr.,DAL,1139,254,139,42,6
Timmy Allen,MEM,13,17,5,4,0
Tobias Harris,PHI,1204,453,217,70,46
Torrey Craig,CHI,303,217,58,30,21
Tosan Evbuomwan,DET,101,60,16,6,5
Toumani Camara,POR,527,343,87,66,33
Trae Young,ATL,1389,149,583,72,11
Trayce Jackson-Davis,GSW,540,341,82,29,76
Tre Jones,SAS,771,289,478,78,9
Tre Mann,CHA,382,149,165,51,3
Trendon Watford,BKN,432,194,81,23,19
Trent Forrest,ATL,83,51,92,11,3
Trevelin Queen,ORL,40,20,18,7,5
Trey Jemison III,MEM,171,134,27,12,28
Trey Lyles,SAC,419,257,72,17,19
Trey Murphy III,NOP,842,280,124,51,28
Tristan Thompson,CLE,161,174,51,12,14
Tristan Vukcevic,WAS,85,36,13,5,7
Troy Brown Jr.,DET,247,144,60,24,3
Ty Jerome,CLE,4,1,3,0,0
TyTy Washington Jr.,MIL,14,5,5,3,0
Tyler Herro,MIA,875,222,188,30,3
Tyrese Haliburton,IND,1389,271,752,83,48
Tyrese Maxey,PHI,1816,258,433,69,33
Tyus Jones,WAS,790,179,485,71,18
Udoka Azubuike,PHX,35,32,3,1,6
Usman Garuba,GSW,3,7,1,1,3
Vasilije Micić,CHA,422,88,262,31,7
Victor Wembanyama,SAS,1522,755,274,88,254
Vince Williams Jr.,MEM,521,290,175,47,34
Vít Krejčí,ATL,135,52,50,13,6
Walker Kessler,UTA,518,481,60,30,154
Wendell Carter Jr.,ORL,603,381,95,35,28
Wendell Moore Jr.,MIN,18,12,6,5,1
Wenyen Gabriel,MEM,17,25,3,2,2
Wesley Matthews,ATL,110,53,23,16,11
Xavier Moon,LAC,33,18,21,3,3
Xavier Tillman,BOS,284,211,77,51,44
Yuta Watanabe,MEM,117,54,15,12,7
Zach Collins,SAS,776,370,194,34,52
Zach LaVine,CHI,487,129,98,21,8
Zavier Simpson,MEM,42,20,25,7,3
Zeke Nnaji,DEN,186,125,32,15,38
Ziaire Williams,MEM,420,180,75,36,9
Zion Williamson,NOP,1601,406,352,76,47
